frame,timestamp,plate,yolo_confidence,ocr_confidence,final_confidence,x1,y1,x2,y2
620,10.333,EYGINBG,0.5098,0.3508,0.6271,2601,1713,2781,1779
625,10.417,EEINBG,0.6725,0.6169,0.5818,2604,1731,2790,1797
630,10.5,E6INBG,0.4467,0.7223,0.6856,2616,1746,2790,1809
635,10.583,E6INBG,0.6512,0.7557,0.6973,2613,1773,2820,1833
640,10.667,E6INBG,0.5829,0.7904,0.7093,2616,1782,2826,1848
645,10.75,E6INBG,0.3632,0.4379,0.6536,2625,1800,2820,1866
650,10.833,EGLNBG,0.6091,0.3697,0.5825,2628,1818,2826,1884
655,10.917,EYGINBG,0.4669,0.3603,0.6022,2646,1833,2832,1896
655,10.917,EYSINBG,0.4289,0.4738,0.4817,2649,1803,2823,1893
660,11.0,BEINBG,0.5908,0.1618,0.2633,2637,1869,2841,1926
665,11.083,LGINBG,0.6006,0.5057,0.504,2646,1878,2847,1941
670,11.167,EYGINBG,0.4045,0.3459,0.5812,2649,1899,2865,1968
675,11.25,EGINBG,0.6211,0.8752,0.719,2661,1920,2874,1989
680,11.333,EYGINBG,0.5978,0.9423,0.6019,2664,1935,2874,1998
685,11.417,EYGINBG,0.6836,0.7595,0.6086,2667,1962,2880,2031
690,11.5,EYGINBG,0.6265,0.7705,0.6148,2673,1983,2883,2043
690,11.5,EYSINBG,0.5647,0.5419,0.5055,2676,1959,2880,2043
690,11.5,HNIA,0.4215,0.5752,0.4926,2400,1635,2520,1707
695,11.583,EY6INBG,0.5837,0.3598,0.5559,2685,2010,2892,2073
695,11.583,EY6INBG,0.3581,0.5783,0.5706,2685,1995,2907,2079
700,11.667,EGLNBG,0.5418,0.6279,0.5848,2685,2022,2916,2091
705,11.75,EYGINBG,0.5331,0.8453,0.6238,2700,2031,2919,2118
710,11.833,EYGINBG,0.4915,0.9206,0.6352,2709,2073,2925,2142
715,11.917,WOBTHVF,0.5287,0.3319,0.3824,1128,1698,1305,1770
725,12.083,LIHVE,0.3615,0.1734,0.2114,1128,1719,1305,1797
730,12.167,HNIA,0.4312,0.4721,0.4565,2427,1770,2559,1836
730,12.167,LQBHVF,0.3889,0.5643,0.545,1110,1740,1293,1806
735,12.25,HNIA,0.3914,0.8299,0.528,2430,1791,2565,1857
740,12.333,HNI4,0.3806,0.8327,0.7329,2424,1806,2565,1869
745,12.417,LQBHVF,0.3545,0.1879,0.4133,1074,1791,1260,1866
750,12.5,LJT,0.5131,0.2688,0.2781,1065,1809,1272,1878
755,12.583,WODHVF,0.5708,0.0744,0.2021,1059,1815,1266,1905
755,12.583,KICI,0.4612,0.6635,0.5544,2445,1860,2616,1935
760,12.667,VDBHVE,0.4463,0.0805,0.2063,1032,1836,1245,1908
765,12.75,WQBHVE,0.5537,0.2679,0.3375,1038,1857,1245,1932
765,12.75,HNRC,0.4249,0.1705,0.2094,2445,1896,2619,1980
770,12.833,KCT,0.5886,0.2142,0.2399,2460,1917,2613,1983
770,12.833,VO0HVE,0.5848,0.1428,0.31,1029,1875,1236,1950
